GeneCluster	Gene	HyPhy_result	Detection_rate
Soil_0124377794_COG0553	DSM_0099755948	NS_OE	0.25
Soil_0124377794_COG0553	DSM_0104321459	NS_OE	3.2
Soil_0124377794_COG0553	DSM_0104534731	NS_OE	7.64
Soil_0124377794_COG0553	DSM_0106972693	NS_OE	7.88
Soil_0124377794_COG0553	DSM_0112492754	NS_OE	3.94
Soil_0124377794_COG0553	DSM_0117774432	NS_OE	10.1
Soil_0124377794_COG0553	DSM_0119590865	NS_OE	6.16
Soil_0124377794_COG0553	DSM_0119735831	NS_OE	0.74
Soil_0124377794_COG0553	DSM_0121012840	NS_OE	0.49
Soil_0124377794_COG0553	DSM_0121861088	NS_OE	1.23
Soil_0124377794_COG0553	DSM_0143596663	NS_OE	13.55
Soil_0124377794_COG0553	DSM_0144801711	NS_OE	3.94
Soil_0124377794_COG0553	DSM_0148307588	NS_OE	44.83
Soil_0124377794_COG0553	DSM_0154791446	NS_OE	5.17
Soil_0124377794_COG0553	DSM_0158896633	NS_OE	15.02
Soil_0124377794_COG0553	DSM_0159538824	NS_OE	1.72
Soil_0124377794_COG0553	DSM_0159596553	NS_OE	5.17
Soil_0124377794_COG0553	DSM_0167518420	NS_OE	16.75
Soil_0124377794_COG0553	DSM_0170853014	NS_OE	8.62
Soil_0124377794_COG0553	DSM_0180755659	NS_OE	4.19
Soil_0124377794_COG0553	DSM_0181789322	NS_OE	4.93
Soil_0124377794_COG0553	DSM_0185092039	NS_OE	1.72
Soil_0124377794_COG0553	DSM_0191291216	NS_OE	9.61
Soil_0124377794_COG0553	DSM_0191397224	NS_OE	25.37
Soil_0124377794_COG0553	DSM_0194599560	NS_OE	5.67
Soil_0124377794_COG0553	DSM_0203046951	NS_OE	6.4
Soil_0124377794_COG0553	DSM_0212941316	NS_OE	3.94
Soil_0124377794_COG0553	DSM_0213999671	NS_OE	4.43
Soil_0124377794_COG0553	DSM_0221325773	NS_OE	2.22
Soil_0124377794_COG0553	DSM_0222567918	NS_OE	4.93
Soil_0124377794_COG0553	DSM_0227290395	NS_OE	0.74
Soil_0124377794_COG0553	DSM_0230967895	NS_OE	61.08
Soil_0124377794_COG0553	DSM_0231371248	NS_OE	13.05
Soil_0124377794_COG0553	DSM_0236052219	NS_OE	8.87
Soil_0124377794_COG0553	DSM_0236676673	NS_OE	2.22
Soil_0124377794_COG0553	DSM_0241731828	NS_OE	3.69
Soil_0124377794_COG0553	DSM_0242648696	NS_OE	0.74
Soil_0124377794_COG0553	DSM_0244421225	NS_OE	2.96
Soil_0124377794_COG0553	DSM_0246078394	NS_OE	2.46
Soil_0124377794_COG0553	DSM_0246340762	NS_OE	0.74
Soil_0124377794_COG0553	DSM_0246737400	NS_OE	2.46
Soil_0124377794_COG0553	DSM_0249354466	NS_OE	11.58
Soil_0124377794_COG0553	DSM_0249584578	NS_OE	7.39
Soil_0124377794_COG0553	DSM_0252319516	NS_OE	2.46
Soil_0124377794_COG0553	DSM_0252996299	NS_OE	7.88
Soil_0124377794_COG0553	DSM_0253308679	NS_OE	4.43
Soil_0124377794_COG0553	DSM_0254949714	NS_OE	5.91
Soil_0124377794_COG0553	DSM_0260233713	NS_OE	2.46
Soil_0124377794_COG0553	DSM_0261559276	NS_OE	0.74
Soil_0124377794_COG0553	DSM_0268152979	NS_OE	1.97
Soil_0124377794_COG0553	DSM_0268545592	NS_OE	23.89
Soil_0124377794_COG0553	DSM_0269495535	NS_OE	5.42
Soil_0124377794_COG0553	DSM_0280029462	NS_OE	6.9
Soil_0124377794_COG0553	DSM_0286600215	NS_OE	2.71
Soil_0124377794_COG0553	DSM_0288078864	NS_OE	7.64
Soil_0124377794_COG0553	DSM_0290174550	NS_OE	0.25
Soil_0124377794_COG0553	DSM_0290488648	NS_OE	5.17
Soil_0124377794_COG0553	DSM_0290494485	NS_OE	6.16
Soil_0124377794_COG0553	DSM_0295316535	NS_OE	0.49
Soil_0124377794_COG0553	DSM_0306491500	NS_OE	1.48
Soil_0124377794_COG0553	DSM_0309205793	NS_OE	11.58
Soil_0124377794_COG0553	DSM_0309848360	NS_OE	20.94
Soil_0124377794_COG0553	DSM_0312896980	NS_OE	0.25
Soil_0124377794_COG0553	DSM_0316776928	NS_OE	3.94
Soil_0124377794_COG0553	DSM_0317856005	NS_OE	47.78
Soil_0124377794_COG0553	DSM_0320623399	NS_OE	1.72
Soil_0124377794_COG0553	DSM_0322665045	NS_OE	41.63
Soil_0124377794_COG0553	DSM_0325273509	NS_OE	10.59
Soil_0124377794_COG0553	DSM_0326276952	NS_OE	3.45
Soil_0124377794_COG0553	DSM_0327988471	NS_OE	0.74
Soil_0124377794_COG0553	DSM_0330774272	NS_OE	1.72
Soil_0124377794_COG0553	DSM_0333989487	NS_OE	5.91
Soil_0124377794_COG0553	DSM_0336907386	NS_OE	2.71
Soil_0124377794_COG0553	DSM_0337103413	NS_OE	0.25
Soil_0124377794_COG0553	DSM_0342419927	NS_OE	2.71
Soil_0124377794_COG0553	DSM_0349798828	NS_OE	6.16
Soil_0124377794_COG0553	DSM_0350603858	NS_OE	2.22
